"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","AP018714","AP018715","Ben","Bill","Bob","Bop","CCS1","Car","Carl","KY549443","NC_027335","NC_029009","NC_029026","Tex","V12","phief24c_oriented"
"group_477","","hypothetical protein","8","8","1","1","345","1","443","","224","224","224","","","AMNIBMGE_00125","DIEEDFHO_00083","","KEBGJNKE_00086","JEFDOCMN_00070","","","APLKDIED_00119","","MHALOBAC_00084","","BOCOCLFO_00071","FLJIFKPE_00087",""
"group_478","","hypothetical protein","8","8","1","1","343","1","445","","230","230","230","","","AMNIBMGE_00127","DIEEDFHO_00081","","KEBGJNKE_00084","JEFDOCMN_00068","","","APLKDIED_00121","","MHALOBAC_00082","","BOCOCLFO_00069","FLJIFKPE_00085",""
"group_479","","hypothetical protein","8","8","1","1","342","1","446","","305","305","305","","","AMNIBMGE_00128","DIEEDFHO_00080","","KEBGJNKE_00083","JEFDOCMN_00067","","","APLKDIED_00122","","MHALOBAC_00081","","BOCOCLFO_00068","FLJIFKPE_00084",""
"group_48","","hypothetical protein","8","8","1","1","553","1","205","","1628","1637","1630","NIGGIMMC_00079","ENPKHIHN_00080","","","FGBNBECL_00175","","","EGEOBHOM_00177","NGDEOPKE_00167","","EFIMCMEB_00021","","IJMJAIPA_00111","","","OOCDCBIJ_00182"
"group_480","","hypothetical protein","8","8","1","1","341","1","447","","659","662","661","","","AMNIBMGE_00129","DIEEDFHO_00079","","KEBGJNKE_00082","JEFDOCMN_00066","","","APLKDIED_00123","","MHALOBAC_00080","","BOCOCLFO_00067","FLJIFKPE_00083",""
"group_49","","hypothetical protein","8","8","1","1","581","1","235","","431","446","438","NIGGIMMC_00108","ENPKHIHN_00107","","","FGBNBECL_00204","","","EGEOBHOM_00201","NGDEOPKE_00191","","EFIMCMEB_00207","","IJMJAIPA_00083","","","OOCDCBIJ_00212"
"group_496","","hypothetical protein","8","8","1","1","171","1","283","","1244","1244","1244","","","AMNIBMGE_00185","DIEEDFHO_00023","","KEBGJNKE_00026","JEFDOCMN_00020","","","APLKDIED_00166","","MHALOBAC_00025","","BOCOCLFO_00021","FLJIFKPE_00032",""
"group_50","","hypothetical protein","8","8","1","1","606","1","257","","356","359","358","NIGGIMMC_00123","ENPKHIHN_00120","","","FGBNBECL_00009","","","EGEOBHOM_00013","NGDEOPKE_00209","","EFIMCMEB_00190","","IJMJAIPA_00067","","","OOCDCBIJ_00016"
"group_51","","hypothetical protein","8","8","1","1","144","1","319","","311","542","504","NIGGIMMC_00141","ENPKHIHN_00140","","","FGBNBECL_00035","","","EGEOBHOM_00032","NGDEOPKE_00018","","EFIMCMEB_00171","","IJMJAIPA_00041","","","OOCDCBIJ_00046"
"group_53","","hypothetical protein","8","8","1","1","134","1","329","","518","518","518","NIGGIMMC_00150","ENPKHIHN_00149","","","FGBNBECL_00044","","","EGEOBHOM_00042","NGDEOPKE_00028","","EFIMCMEB_00162","","IJMJAIPA_00031","","","OOCDCBIJ_00055"
"group_58","","hypothetical protein","8","8","1","1","93","1","365","","431","431","431","NIGGIMMC_00181","ENPKHIHN_00177","","","FGBNBECL_00074","","","EGEOBHOM_00072","NGDEOPKE_00057","","EFIMCMEB_00131","","IJMJAIPA_00003","","","OOCDCBIJ_00086"
"group_59","","hypothetical protein","8","8","1","1","259","1","147","","137","332","305","","","AMNIBMGE_00008","DIEEDFHO_00189","","KEBGJNKE_00205","JEFDOCMN_00199","","","APLKDIED_00199","","MHALOBAC_00001","","BOCOCLFO_00192","FLJIFKPE_00208",""
"group_62","","hypothetical protein","8","8","1","1","276","1","129","","848","848","848","","","AMNIBMGE_00019","DIEEDFHO_00177","","KEBGJNKE_00194","JEFDOCMN_00186","","","APLKDIED_00011","","MHALOBAC_00192","","BOCOCLFO_00177","FLJIFKPE_00197",""
"group_65","","hypothetical protein","8","8","1","1","348","1","441","","368","368","368","","","AMNIBMGE_00120","DIEEDFHO_00088","","KEBGJNKE_00091","JEFDOCMN_00076","","","APLKDIED_00117","","MHALOBAC_00089","","BOCOCLFO_00076","FLJIFKPE_00093",""
"group_67","","hypothetical protein","8","8","1","1","185","1","292","","227","227","227","","","AMNIBMGE_00194","DIEEDFHO_00014","","KEBGJNKE_00020","JEFDOCMN_00014","","","APLKDIED_00173","","MHALOBAC_00018","","BOCOCLFO_00016","FLJIFKPE_00026",""
"group_68","","hypothetical protein","8","8","1","1","625","1","164","","413","413","413","","","AMNIBMGE_00209","DIEEDFHO_00001","","KEBGJNKE_00006","JEFDOCMN_00003","","","APLKDIED_00186","","MHALOBAC_00004","","BOCOCLFO_00002","FLJIFKPE_00012",""
"group_70","","hypothetical protein","8","8","1","1","267","1","137","","2342","2444","2411","","","AMNIBMGE_00014","DIEEDFHO_00182","","KEBGJNKE_00199","JEFDOCMN_00194","","","APLKDIED_00005","","MHALOBAC_00198","","BOCOCLFO_00185","FLJIFKPE_00202",""
"group_74","uvsW","ATP-dependent DNA helicase uvsW","8","8","1","1","490","2","85","","1772","3047","2394","NIGGIMMC_00040","ENPKHIHN_00041","","","FGBNBECL_00137","","","EGEOBHOM_00139","NGDEOPKE_00127","","EFIMCMEB_00062","","IJMJAIPA_00149","","","OOCDCBIJ_00146"
"group_75","","hypothetical protein","8","8","1","1","504","2","99","","299","320","302","NIGGIMMC_00054","ENPKHIHN_00055","","","FGBNBECL_00151","","","EGEOBHOM_00153","NGDEOPKE_00141","","EFIMCMEB_00048","","IJMJAIPA_00135","","","OOCDCBIJ_00160"
"group_76","","hypothetical protein","8","8","1","1","552","1","204","","845","845","845","NIGGIMMC_00078","ENPKHIHN_00079","","","FGBNBECL_00174","","","EGEOBHOM_00176","NGDEOPKE_00166","","EFIMCMEB_00022","","IJMJAIPA_00112","","","OOCDCBIJ_00181"
"group_77","","hypothetical protein","8","8","1","1","561","1","211","","272","272","272","NIGGIMMC_00086","ENPKHIHN_00086","","","FGBNBECL_00182","","","EGEOBHOM_00183","NGDEOPKE_00173","","EFIMCMEB_00015","","IJMJAIPA_00105","","","OOCDCBIJ_00189"
"group_78","","hypothetical protein","8","8","1","1","572","1","221","","377","377","377","NIGGIMMC_00096","ENPKHIHN_00096","","","FGBNBECL_00192","","","EGEOBHOM_00193","NGDEOPKE_00183","","EFIMCMEB_00005","","IJMJAIPA_00096","","","OOCDCBIJ_00199"
"group_79","","hypothetical protein","8","8","1","1","573","1","222","","230","230","230","NIGGIMMC_00097","ENPKHIHN_00097","","","FGBNBECL_00193","","","EGEOBHOM_00194","NGDEOPKE_00184","","EFIMCMEB_00004","","IJMJAIPA_00095","","","OOCDCBIJ_00200"
"group_80","","hypothetical protein","8","8","1","1","574","1","223","","143","374","316","NIGGIMMC_00098","ENPKHIHN_00098","","","FGBNBECL_00194","","","EGEOBHOM_00195","NGDEOPKE_00185","","EFIMCMEB_00003","","IJMJAIPA_00094","","","OOCDCBIJ_00201"
"group_82","","hypothetical protein","8","8","1","1","577","1","231","","140","143","141","NIGGIMMC_00104","ENPKHIHN_00104","","","FGBNBECL_00200","","","EGEOBHOM_00197","NGDEOPKE_00187","","EFIMCMEB_00211","","IJMJAIPA_00087","","","OOCDCBIJ_00208"
"group_84","","hypothetical protein","8","8","1","1","593","1","244","","206","206","206","NIGGIMMC_00115","ENPKHIHN_00115","","","FGBNBECL_00003","","","EGEOBHOM_00003","NGDEOPKE_00199","","EFIMCMEB_00198","","IJMJAIPA_00074","","","OOCDCBIJ_00007"
"group_88","","hypothetical protein","8","8","1","1","143","1","320","","392","392","392","NIGGIMMC_00142","ENPKHIHN_00141","","","FGBNBECL_00036","","","EGEOBHOM_00033","NGDEOPKE_00019","","EFIMCMEB_00169","","IJMJAIPA_00040","","","OOCDCBIJ_00047"
"group_90","","hypothetical protein","8","8","1","1","127","1","335","","176","176","176","NIGGIMMC_00156","ENPKHIHN_00155","","","FGBNBECL_00050","","","EGEOBHOM_00048","NGDEOPKE_00034","","EFIMCMEB_00156","","IJMJAIPA_00026","","","OOCDCBIJ_00061"
"group_93","","hypothetical protein","8","8","1","1","121","1","345","","611","611","611","NIGGIMMC_00162","ENPKHIHN_00161","","","FGBNBECL_00056","","","EGEOBHOM_00054","NGDEOPKE_00040","","EFIMCMEB_00149","","IJMJAIPA_00020","","","OOCDCBIJ_00067"
"group_96","","hypothetical protein","8","8","1","1","101","1","357","","335","362","338","NIGGIMMC_00175","ENPKHIHN_00170","","","FGBNBECL_00068","","","EGEOBHOM_00065","NGDEOPKE_00051","","EFIMCMEB_00137","","IJMJAIPA_00009","","","OOCDCBIJ_00079"
"group_97","","hypothetical protein","8","8","1","1","98","1","361","","461","461","461","NIGGIMMC_00177","ENPKHIHN_00172","","","FGBNBECL_00070","","","EGEOBHOM_00068","NGDEOPKE_00053","","EFIMCMEB_00135","","IJMJAIPA_00007","","","OOCDCBIJ_00081"
"group_100","","hypothetical protein","7","7","1","1","592","1","243","","230","242","232","","ENPKHIHN_00114","","","FGBNBECL_00002","","","EGEOBHOM_00002","NGDEOPKE_00198","","EFIMCMEB_00199","","IJMJAIPA_00075","","","OOCDCBIJ_00006"
"group_101","","hypothetical protein","7","7","1","1","140","1","323","","542","584","548","","ENPKHIHN_00144","","","FGBNBECL_00039","","","EGEOBHOM_00036","NGDEOPKE_00022","","EFIMCMEB_00167","","IJMJAIPA_00037","","","OOCDCBIJ_00050"
"group_105","","hypothetical protein","7","7","1","1","251","1","155","","188","188","188","","","AMNIBMGE_00003","DIEEDFHO_00193","","KEBGJNKE_00210","JEFDOCMN_00204","","","APLKDIED_00194","","","","BOCOCLFO_00196","FLJIFKPE_00002",""
"group_114","","hypothetical protein","7","7","1","1","64","1","50","","224","224","224","","","AMNIBMGE_00160","DIEEDFHO_00048","","KEBGJNKE_00051","","","","APLKDIED_00144","","MHALOBAC_00049","","BOCOCLFO_00044","FLJIFKPE_00055",""
"group_118","","hypothetical protein","7","7","1","1","39","1","27","","242","242","242","","","AMNIBMGE_00180","DIEEDFHO_00028","","KEBGJNKE_00031","","","","APLKDIED_00162","","MHALOBAC_00030","","BOCOCLFO_00026","FLJIFKPE_00037",""
"group_119","","hypothetical protein","7","7","1","1","38","1","25","","740","758","749","","","AMNIBMGE_00181","DIEEDFHO_00027","","KEBGJNKE_00030","","","","APLKDIED_00163","","MHALOBAC_00029","","BOCOCLFO_00025","FLJIFKPE_00036",""
"group_144","","hypothetical protein","7","7","1","1","604","1","255","","200","212","210","NIGGIMMC_00120","","","","FGBNBECL_00007","","","EGEOBHOM_00010","NGDEOPKE_00206","","EFIMCMEB_00193","","IJMJAIPA_00069","","","OOCDCBIJ_00014"
"group_153","","hypothetical protein","7","7","1","1","141","1","322","","170","170","170","NIGGIMMC_00144","ENPKHIHN_00143","","","FGBNBECL_00038","","","EGEOBHOM_00035","NGDEOPKE_00021","","","","IJMJAIPA_00038","","","OOCDCBIJ_00049"
"group_156","","hypothetical protein","7","7","1","1","130","1","332","","272","314","284","NIGGIMMC_00153","ENPKHIHN_00152","","","FGBNBECL_00047","","","EGEOBHOM_00045","NGDEOPKE_00031","","EFIMCMEB_00159","","","","","OOCDCBIJ_00058"
"group_158","","hypothetical protein","7","7","1","1","115","1","351","","383","386","383","NIGGIMMC_00167","","","","FGBNBECL_00061","","","EGEOBHOM_00059","NGDEOPKE_00045","","EFIMCMEB_00144","","IJMJAIPA_00016","","","OOCDCBIJ_00072"
"group_167","","tRNA-Leu(tag)","7","7","1","1","367","1","425","","84","84","84","NIGGIMMC_00199","ENPKHIHN_00196","","","FGBNBECL_00091","","","EGEOBHOM_00089","NGDEOPKE_00081","","EFIMCMEB_00113","","","","","OOCDCBIJ_00102"
"group_170","","hypothetical protein","7","7","1","1","459","2","46","","725","740","729","","ENPKHIHN_00030","","","FGBNBECL_00126","","","EGEOBHOM_00128","NGDEOPKE_00116","","EFIMCMEB_00074","","IJMJAIPA_00159","","","OOCDCBIJ_00136"
"I4L","","Ribonucleoside-diphosphate reductase large subunit","7","7","1","1","77","1","377","","590","2150","890","NIGGIMMC_00188","ENPKHIHN_00187","","","FGBNBECL_00080","","","EGEOBHOM_00078","NGDEOPKE_00070","","EFIMCMEB_00122","","","","","OOCDCBIJ_00093"
"group_188","","tRNA-Arg(acg)","7","7","1","1","360","1","428","","72","72","72","","","AMNIBMGE_00108","","","KEBGJNKE_00104","JEFDOCMN_00089","","","APLKDIED_00110","","MHALOBAC_00101","","BOCOCLFO_00088","FLJIFKPE_00106",""
"group_191","","tRNA-Pro(tgg)","7","7","1","1","309","1","407","","72","72","72","","","AMNIBMGE_00123","DIEEDFHO_00085","","KEBGJNKE_00088","JEFDOCMN_00072","","","","","MHALOBAC_00086","","BOCOCLFO_00073","FLJIFKPE_00089",""
"group_194","","hypothetical protein","7","7","1","1","319","1","7","","362","377","372","","","AMNIBMGE_00135","DIEEDFHO_00073","","KEBGJNKE_00075","JEFDOCMN_00059","","","","","MHALOBAC_00074","","BOCOCLFO_00061","FLJIFKPE_00077",""
"group_244","","hypothetical protein","7","7","1","1","235","1","189","","293","293","293","NIGGIMMC_00093","ENPKHIHN_00093","","","FGBNBECL_00189","","","EGEOBHOM_00190","NGDEOPKE_00180","","EFIMCMEB_00008","","","","","OOCDCBIJ_00196"
"group_253","","hypothetical protein","7","7","1","1","608","1","173","","101","101","101","NIGGIMMC_00124","","","","FGBNBECL_00010","","","EGEOBHOM_00014","NGDEOPKE_00210","","EFIMCMEB_00189","","IJMJAIPA_00066","","","OOCDCBIJ_00017"
"group_258","","hypothetical protein","7","7","1","1","138","1","325","","470","470","470","NIGGIMMC_00147","ENPKHIHN_00146","","","FGBNBECL_00041","","","EGEOBHOM_00038","NGDEOPKE_00024","","EFIMCMEB_00165","","IJMJAIPA_00035","","",""
"group_265","","hypothetical protein","7","7","1","1","363","1","418","","230","230","230","NIGGIMMC_00192","ENPKHIHN_00191","","","FGBNBECL_00084","","","EGEOBHOM_00082","NGDEOPKE_00074","","EFIMCMEB_00118","","","","","OOCDCBIJ_00097"
"group_267","","tRNA-Asp(gtc)","7","7","1","1","368","1","424","","75","75","75","NIGGIMMC_00202","ENPKHIHN_00199","","","FGBNBECL_00094","","","EGEOBHOM_00092","NGDEOPKE_00084","","EFIMCMEB_00110","","","","","OOCDCBIJ_00105"
"group_29","","hypothetical protein","7","7","1","1","275","1","130","","1151","1727","1644","","","AMNIBMGE_00018","DIEEDFHO_00178","","KEBGJNKE_00195","JEFDOCMN_00187","","","","","MHALOBAC_00193","","BOCOCLFO_00178","FLJIFKPE_00198",""
"group_302","","hypothetical protein","7","7","1","1","355","1","434","","251","251","251","","","AMNIBMGE_00111","","","KEBGJNKE_00100","JEFDOCMN_00086","","","APLKDIED_00112","","MHALOBAC_00098","","BOCOCLFO_00084","FLJIFKPE_00103",""
"NRDD","","Anaerobic ribonucleoside-triphosphate reductase","7","7","1","1","339","1","402","","1919","1919","1919","","","AMNIBMGE_00131","DIEEDFHO_00077","","KEBGJNKE_00080","JEFDOCMN_00064","","","","","MHALOBAC_00078","","BOCOCLFO_00065","FLJIFKPE_00081",""
"group_313","","hypothetical protein","7","7","1","1","61","1","48","","530","530","530","","","AMNIBMGE_00162","DIEEDFHO_00046","","KEBGJNKE_00049","JEFDOCMN_00041","","","APLKDIED_00146","","MHALOBAC_00047","","BOCOCLFO_00042","",""
"group_321","","hypothetical protein","7","7","1","1","181","1","289","","197","197","197","","","AMNIBMGE_00191","DIEEDFHO_00017","","KEBGJNKE_00022","JEFDOCMN_00016","","","","","MHALOBAC_00021","","BOCOCLFO_00018","FLJIFKPE_00028",""
"group_35","","hypothetical protein","7","7","1","1","623","1","161","","272","383","367","","","AMNIBMGE_00211","DIEEDFHO_00199","","KEBGJNKE_00005","JEFDOCMN_00001","","","APLKDIED_00188","","","","BOCOCLFO_00202","FLJIFKPE_00010",""
"group_415","","hypothetical protein","7","7","1","1","569","1","188","","179","179","179","NIGGIMMC_00094","ENPKHIHN_00094","","","FGBNBECL_00190","","","EGEOBHOM_00191","NGDEOPKE_00181","","EFIMCMEB_00007","","","","","OOCDCBIJ_00197"
"group_421","","hypothetical protein","7","7","1","1","126","1","336","","197","197","197","NIGGIMMC_00157","ENPKHIHN_00156","","","","","","EGEOBHOM_00049","NGDEOPKE_00035","","EFIMCMEB_00155","","IJMJAIPA_00025","","","OOCDCBIJ_00062"
"group_426","","hypothetical protein","7","7","1","1","76","1","374","","242","242","242","NIGGIMMC_00189","ENPKHIHN_00188","","","FGBNBECL_00081","","","EGEOBHOM_00079","NGDEOPKE_00071","","EFIMCMEB_00121","","","","","OOCDCBIJ_00094"
"group_427","","hypothetical protein","7","7","1","1","75","1","416","","206","206","206","NIGGIMMC_00190","ENPKHIHN_00189","","","FGBNBECL_00082","","","EGEOBHOM_00080","NGDEOPKE_00072","","EFIMCMEB_00120","","","","","OOCDCBIJ_00095"
"group_428","","hypothetical protein","7","7","1","1","362","1","417","","305","305","305","NIGGIMMC_00191","ENPKHIHN_00190","","","FGBNBECL_00083","","","EGEOBHOM_00081","NGDEOPKE_00073","","EFIMCMEB_00119","","","","","OOCDCBIJ_00096"
"group_429","","hypothetical protein","7","7","1","1","364","1","419","","224","224","224","NIGGIMMC_00193","ENPKHIHN_00192","","","FGBNBECL_00085","","","EGEOBHOM_00083","NGDEOPKE_00075","","EFIMCMEB_00117","","","","","OOCDCBIJ_00098"
"group_474","","tRNA-Glu(ttc)","7","7","1","1","372","1","411","","73","73","73","","","AMNIBMGE_00099","DIEEDFHO_00096","","KEBGJNKE_00113","JEFDOCMN_00098","","","","","MHALOBAC_00110","","BOCOCLFO_00096","FLJIFKPE_00115",""
"group_485","","hypothetical protein","7","7","1","1","316","1","6","","1127","1127","1127","","","AMNIBMGE_00138","DIEEDFHO_00070","","KEBGJNKE_00072","JEFDOCMN_00058","","","","","MHALOBAC_00071","","BOCOCLFO_00060","FLJIFKPE_00074",""
"group_486","","hypothetical protein","7","7","1","1","327","1","396","","737","743","741","","","AMNIBMGE_00139","DIEEDFHO_00069","","KEBGJNKE_00071","JEFDOCMN_00056","","","","","MHALOBAC_00070","","BOCOCLFO_00058","FLJIFKPE_00073",""
"group_54","","hypothetical protein","7","7","1","1","118","1","347","","116","116","116","NIGGIMMC_00164","","","","FGBNBECL_00058","","","EGEOBHOM_00056","NGDEOPKE_00042","","EFIMCMEB_00147","","IJMJAIPA_00018","","","OOCDCBIJ_00069"
"group_57","","hypothetical protein","7","7","1","1","95","1","363","","431","431","431","NIGGIMMC_00179","ENPKHIHN_00175","","","FGBNBECL_00072","","","EGEOBHOM_00070","","","EFIMCMEB_00133","","IJMJAIPA_00005","","","OOCDCBIJ_00084"
"group_61","","hypothetical protein","7","7","1","1","264","1","138","","560","560","560","","","AMNIBMGE_00013","DIEEDFHO_00183","","KEBGJNKE_00200","JEFDOCMN_00195","","","APLKDIED_00004","","MHALOBAC_00199","","","FLJIFKPE_00203",""
"group_63","","hypothetical protein","7","7","1","1","478","2","68","","662","920","855","","","AMNIBMGE_00048","","","KEBGJNKE_00164","JEFDOCMN_00152","","","APLKDIED_00050","","MHALOBAC_00161","","BOCOCLFO_00146","FLJIFKPE_00168",""
"group_66","","hypothetical protein","7","7","1","1","167","1","281","","740","743","740","","","AMNIBMGE_00183","DIEEDFHO_00025","","KEBGJNKE_00028","JEFDOCMN_00022","","","","","MHALOBAC_00027","","BOCOCLFO_00023","FLJIFKPE_00034",""
"group_81","","hypothetical protein","7","7","1","1","576","1","230","","158","158","158","NIGGIMMC_00103","","","","FGBNBECL_00199","","","EGEOBHOM_00196","NGDEOPKE_00186","","EFIMCMEB_00212","","IJMJAIPA_00088","","","OOCDCBIJ_00207"
"group_83","","hypothetical protein","7","7","1","1","224","1","181","","329","443","410","NIGGIMMC_00107","ENPKHIHN_00106","","","FGBNBECL_00203","","","EGEOBHOM_00200","NGDEOPKE_00190","","EFIMCMEB_00208","","","","","OOCDCBIJ_00211"
"group_86","","hypothetical protein","7","7","1","1","603","1","253","","197","425","262","NIGGIMMC_00119","","","","FGBNBECL_00006","","","EGEOBHOM_00009","NGDEOPKE_00205","","EFIMCMEB_00194","","IJMJAIPA_00070","","","OOCDCBIJ_00013"
"group_89","","hypothetical protein","7","7","1","1","133","1","64","","164","179","174","NIGGIMMC_00149","ENPKHIHN_00148","","","FGBNBECL_00043","","","EGEOBHOM_00041","NGDEOPKE_00027","","EFIMCMEB_00163","","","","","OOCDCBIJ_00054"
"group_9","","hypothetical protein","7","7","1","1","388","3","28","","446","1472","592","NIGGIMMC_00005","ENPKHIHN_00007","","","FGBNBECL_00102","","","EGEOBHOM_00104","NGDEOPKE_00092","","","","IJMJAIPA_00183","","","OOCDCBIJ_00112"
"group_91","","Serine/threonine-protein phosphatase","7","7","1","1","124","1","338","","335","683","633","NIGGIMMC_00159","","","","FGBNBECL_00053","","","EGEOBHOM_00051","NGDEOPKE_00037","","EFIMCMEB_00152","","IJMJAIPA_00023","","","OOCDCBIJ_00064"
"group_98","","hypothetical protein","7","7","1","1","458","2","45","","2411","2432","2414","","ENPKHIHN_00029","","","FGBNBECL_00125","","","EGEOBHOM_00127","NGDEOPKE_00115","","EFIMCMEB_00075","","IJMJAIPA_00160","","","OOCDCBIJ_00135"
"group_99","","hypothetical protein","7","7","1","1","586","1","239","","137","140","139","","ENPKHIHN_00110","","","FGBNBECL_00208","","","EGEOBHOM_00205","NGDEOPKE_00195","","EFIMCMEB_00204","","IJMJAIPA_00079","","","OOCDCBIJ_00001"
"group_116","","hypothetical protein","6","6","1","1","46","1","33","","341","362","344","","","AMNIBMGE_00175","DIEEDFHO_00033","","KEBGJNKE_00036","JEFDOCMN_00028","","","","","MHALOBAC_00035","","","FLJIFKPE_00042",""
"group_121","","hypothetical protein","6","6","1","1","263","1","139","","236","236","236","","","","DIEEDFHO_00184","","KEBGJNKE_00201","JEFDOCMN_00196","","","APLKDIED_00003","","MHALOBAC_00200","","","FLJIFKPE_00204",""
"group_123","","hypothetical protein","6","6","1","1","389","3","3","","359","788","716","NIGGIMMC_00006","","","","FGBNBECL_00103","","","","NGDEOPKE_00093","","EFIMCMEB_00101","","IJMJAIPA_00182","","","OOCDCBIJ_00113"
"group_132","","hypothetical protein","6","6","1","1","497","2","92","","632","632","632","NIGGIMMC_00047","ENPKHIHN_00048","","","","","","EGEOBHOM_00146","NGDEOPKE_00134","","EFIMCMEB_00055","","IJMJAIPA_00142","","",""
"group_159","","hypothetical protein","6","6","1","1","110","1","57","","173","173","173","NIGGIMMC_00171","ENPKHIHN_00166","","","FGBNBECL_00064","","","","","","EFIMCMEB_00142","","IJMJAIPA_00013","","","OOCDCBIJ_00075"
"group_161","","hypothetical protein","6","6","1","1","105","1","58","","146","344","311","NIGGIMMC_00172","ENPKHIHN_00167","","","FGBNBECL_00065","","","","","","EFIMCMEB_00140","","IJMJAIPA_00012","","","OOCDCBIJ_00076"
"group_181","","hypothetical protein","6","6","1","1","472","2","6","","647","647","647","","","AMNIBMGE_00043","DIEEDFHO_00153","","KEBGJNKE_00169","JEFDOCMN_00158","","","","","MHALOBAC_00166","","","FLJIFKPE_00173",""
"group_189","","hypothetical protein","6","6","1","1","354","1","432","","125","125","125","","","AMNIBMGE_00112","","","KEBGJNKE_00099","JEFDOCMN_00085","","","","","MHALOBAC_00097","","BOCOCLFO_00083","FLJIFKPE_00102",""
"group_190","","tRNA-Ala(tgc)","6","6","1","1","346","1","440","","72","72","72","","","AMNIBMGE_00122","DIEEDFHO_00086","","","JEFDOCMN_00073","","","","","MHALOBAC_00087","","BOCOCLFO_00074","FLJIFKPE_00090",""
"group_195","","hypothetical protein","6","6","1","1","67","1","53","","530","758","716","","","AMNIBMGE_00152","DIEEDFHO_00056","","KEBGJNKE_00058","","","","APLKDIED_00142","","MHALOBAC_00056","","","FLJIFKPE_00060",""
"group_20","","hypothetical protein","6","6","1","1","261","1","144","","110","458","322","","","","","","KEBGJNKE_00203","JEFDOCMN_00198","","","APLKDIED_00001","","MHALOBAC_00202","","BOCOCLFO_00189","FLJIFKPE_00206",""
"group_202","","hypothetical protein","6","6","1","1","51","1","36","","296","296","296","","","AMNIBMGE_00172","DIEEDFHO_00036","","KEBGJNKE_00039","","","","APLKDIED_00156","","MHALOBAC_00037","","","FLJIFKPE_00044",""
"group_205","","hypothetical protein","6","6","1","1","176","1","285","","437","437","437","","","AMNIBMGE_00188","DIEEDFHO_00020","","KEBGJNKE_00025","","","","APLKDIED_00167","","MHALOBAC_00024","","","FLJIFKPE_00031",""
"group_23","","hypothetical protein","6","6","1","1","231","1","228","","416","857","753","NIGGIMMC_00101","ENPKHIHN_00102","","","FGBNBECL_00197","","","","","","EFIMCMEB_00214","","IJMJAIPA_00090","","","OOCDCBIJ_00205"
"group_249","","hypothetical protein","6","6","1","1","588","1","180","","293","293","293","NIGGIMMC_00112","","","","FGBNBECL_00211","","","EGEOBHOM_00206","NGDEOPKE_00196","","","","IJMJAIPA_00078","","","OOCDCBIJ_00002"
"group_261","","hypothetical protein","6","6","1","1","116","1","348","","212","212","212","NIGGIMMC_00165","","","","FGBNBECL_00059","","","EGEOBHOM_00057","NGDEOPKE_00043","","EFIMCMEB_00146","","","","","OOCDCBIJ_00070"
"group_262","","hypothetical protein","6","6","1","1","112","1","353","","188","227","214","NIGGIMMC_00170","","","","FGBNBECL_00063","","","EGEOBHOM_00061","NGDEOPKE_00047","","","","IJMJAIPA_00014","","","OOCDCBIJ_00074"
"group_28","","hypothetical protein","6","6","1","1","18","1","63","","215","407","307","NIGGIMMC_00158","ENPKHIHN_00157","","","FGBNBECL_00052","","","","","","EFIMCMEB_00154","","IJMJAIPA_00024","","","OOCDCBIJ_00063"
"group_311","","hypothetical protein","6","6","1","1","68","1","54","","131","332","298","","","AMNIBMGE_00151","DIEEDFHO_00057","","KEBGJNKE_00059","","","","APLKDIED_00141","","MHALOBAC_00057","","","FLJIFKPE_00061",""
"group_326","","hypothetical protein","6","6","1","1","610","1","171","","146","146","146","","","AMNIBMGE_00203","DIEEDFHO_00008","","KEBGJNKE_00012","","","","APLKDIED_00181","","MHALOBAC_00010","","","FLJIFKPE_00018",""
"group_414","","hypothetical protein","6","6","1","1","237","1","216","","302","302","302","NIGGIMMC_00092","ENPKHIHN_00092","","","","","","EGEOBHOM_00189","NGDEOPKE_00179","","EFIMCMEB_00009","","","","","OOCDCBIJ_00195"
"group_432","","hypothetical protein","6","6","1","1","559","1","210","","170","170","170","","ENPKHIHN_00085","","","FGBNBECL_00181","","","","NGDEOPKE_00172","","EFIMCMEB_00016","","IJMJAIPA_00106","","","OOCDCBIJ_00188"
"group_520","","hypothetical protein","6","6","1","1","376","3","7","","260","260","260","","","","","FGBNBECL_00097","","","EGEOBHOM_00095","NGDEOPKE_00087","","EFIMCMEB_00107","","IJMJAIPA_00188","","","OOCDCBIJ_00108"
"group_69","","hypothetical protein","6","6","1","1","622","1","160","","173","173","173","","","AMNIBMGE_00212","DIEEDFHO_00198","","KEBGJNKE_00004","","","","APLKDIED_00189","","","","BOCOCLFO_00201","FLJIFKPE_00008",""
"group_72","","hypothetical protein","6","6","1","1","269","1","136","","254","299","290","","","","","","KEBGJNKE_00198","JEFDOCMN_00193","","","APLKDIED_00006","","MHALOBAC_00197","","BOCOCLFO_00184","FLJIFKPE_00201",""
"group_85","","hypothetical protein","6","6","1","1","601","1","251","","125","431","380","NIGGIMMC_00118","","","","","","","EGEOBHOM_00007","NGDEOPKE_00203","","EFIMCMEB_00195","","IJMJAIPA_00071","","","OOCDCBIJ_00011"
